epoch,train_loss,attack_loss,nps_loss,tv_loss,train_asr,train_positive_images,train_successes,val_asr,val_positive_images,val_successes,decouple_n,decouple_r
1,0.6377222896677203,0.6160953005330753,0.10602982085099262,0.08608385406236733,0.25390625,256,65,0.25390625,256,65,2,0.2
2,0.5768695993233571,0.5517276425277238,0.09698277270108198,0.10017991033011833,0.25390625,256,65,0.25390625,256,65,2,0.20337078651685395
3,0.5562228547260825,0.5297639921175695,0.09615003423089474,0.10545086603512806,0.25390625,256,65,0.25390625,256,65,2,0.20674157303370788
4,0.6357141796466523,0.6142301575272484,0.10567747557585218,0.08551338466659056,0.25390625,256,65,0.25390625,256,65,2,0.21011235955056182
5,0.5797770115654025,0.5548414540501823,0.09689498448793867,0.09935467129787512,0.25390625,256,65,0.25390625,256,65,2,0.21348314606741575
6,0.538715164482066,0.5116654291617132,0.09604884506063124,0.10781476053252684,0.25390625,256,65,0.25390625,256,65,2,0.21685393258426966
7,0.5095624359308091,0.4810788998034148,0.09595315613314113,0.11355032461934385,0.25390625,256,65,0.25390625,256,65,2,0.2202247191011236
8,0.6385494518069039,0.6166700319906252,0.10519165947901464,0.08709691135229262,0.25390625,256,65,0.25390625,256,65,2,0.20526315789473684
9,0.587860417049543,0.5624258726571514,0.09646611251926,0.10135229815424016,0.25390625,256,65,0.25390625,256,65,2,0.20601503759398498
10,0.5446776905945973,0.5179384126599911,0.0961082834189972,0.10657265755982526,0.25390625,256,65,0.25390625,256,65,2,0.2067669172932331
11,0.5016516800475331,0.4729568578500663,0.09605527121936326,0.11439506979906454,0.25390625,256,65,0.25390625,256,65,2,0.2075187969924812
12,0.46379476864781,0.4336681112778925,0.09621633081573301,0.12012176703562778,0.25390625,256,65,0.25390625,256,65,2,0.20827067669172933
13,0.43136271913494684,0.40001858045569566,0.09628645422975574,0.12499140901903136,0.25390625,256,65,0.25390625,256,65,2,0.20902255639097744
14,0.41326002895304587,0.38112901164367136,0.09623231046495184,0.12813914587012434,0.25390625,256,65,0.25390625,256,65,2,0.20977443609022559
15,0.4048833448802475,0.3723712909010659,0.09596115680394975,0.1296643747956352,0.25390625,256,65,0.25390625,256,65,2,0.2105263157894737
16,0.39128835486099783,0.35761244028015476,0.09602489744403721,0.13431955465173298,0.25390625,256,65,0.25390625,256,65,2,0.21127819548872181
17,0.38438863669876505,0.3504953260442852,0.09606307006515233,0.13518899006653676,0.25390625,256,65,0.25390625,256,65,2,0.21203007518796993
18,0.37297971691705484,0.33909559276251666,0.09600957872065823,0.13515245571600654,0.25390625,256,65,0.25390625,256,65,2,0.21278195488721804
19,0.37075919598604723,0.3362498449540771,0.09608702757189759,0.13765306559811652,0.25390625,256,65,0.25390625,256,65,2,0.2135338345864662
20,0.36159714080591115,0.32706072306738493,0.0961167605972923,0.137761217171112,0.25390625,256,65,0.25390625,256,65,2,0.2142857142857143
21,0.3509207200423806,0.31648941971031963,0.09607048642582598,0.1373409183151954,0.25390625,256,65,0.25390625,256,65,2,0.21503759398496242
22,0.3559625528555001,0.32134363055229187,0.09600773269096308,0.13809166782725174,0.25390625,256,65,0.25390625,256,65,2,0.21578947368421053
23,0.360019924630106,0.3246091894343891,0.09601333150557712,0.14125887983668167,0.25390625,256,65,0.25390625,256,65,2,0.21654135338345865
24,0.35050685848809976,0.31483042886299367,0.09621109028833102,0.14232086897951313,0.25390625,256,65,0.25390625,256,65,2,0.2172932330827068
