epoch,train_loss,attack_loss,nps_loss,tv_loss,train_asr,train_positive_images,train_successes,val_asr,val_positive_images,val_successes,decouple_n,decouple_r
1,0.637028995868379,0.6152751609287431,0.10554237294513567,0.08659317548823568,0.27734375,256,71,0.27734375,256,71,2,0.2
2,0.5796295362236226,0.5544020770925336,0.09675302250986606,0.10052280688444071,0.27734375,256,71,0.27734375,256,71,2,0.20337078651685395
3,0.5540495264319192,0.5271305494603857,0.09580200033641495,0.10729268760280272,0.27734375,256,71,0.27734375,256,71,2,0.20674157303370788
4,0.5194035317518014,0.4909826432709145,0.09581586507569372,0.11330029961809648,0.27734375,256,71,0.27734375,256,71,2,0.21011235955056182
5,0.4703622724102662,0.4407175433846702,0.09567902158055686,0.1181961994914882,0.27734375,256,71,0.27734375,256,71,2,0.21348314606741575
6,0.44202893471295857,0.4114737310240754,0.09554494871238692,0.12183863643260129,0.27734375,256,71,0.27734375,256,71,2,0.21685393258426966
7,0.4309110557083535,0.3993554070460058,0.09571027848045383,0.12583976377428105,0.27734375,256,71,0.27734375,256,71,2,0.2202247191011236
8,0.41740879073607184,0.3852003611030832,0.09599799412277947,0.12844973064101903,0.27734375,256,71,0.27734375,256,71,2,0.22359550561797753
9,0.3989418038224752,0.3661990865933157,0.09614832072922613,0.13058627508910356,0.27734375,256,71,0.27734375,256,71,2,0.22696629213483147
10,0.3966310599208933,0.36342130456350547,0.09631972529191886,0.13245373885188483,0.27734375,256,71,0.27734375,256,71,2,0.2303370786516854
11,0.3871050015487502,0.35344437846040305,0.09631878572755155,0.13425723232526696,0.27734375,256,71,0.27734375,256,71,2,0.23370786516853934
